12	1	PARTIDO FRENTE DE LA ESPERANZA 2021	0
12	1	PARTIDO MORADO	84078
12	1	PARTIDO PATRIÓTICO DEL PERÚ	98684
12	1	PARTIDO PAÍS PARA TODOS	721658
12	1	PARTIDO POLÍTICO COOPERACIÓN POPULAR	134796
12	1	PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	50902
12	1	PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	114278
12	1	PARTIDO POLÍTICO PERÚ ACCIÓN	0
12	1	PARTIDO POLÍTICO PERÚ PRIMERO	131288
12	1	PARTIDO POLÍTICO PRIN	20222
12	1	PARTIDO SICREO	0
12	1	PERÚ MODERNO	11471
12	1	PODEMOS PERÚ	249426
12	1	PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	437560
12	1	PROGRESEMOS	108070
12	1	RENOVACIÓN POPULAR	1375469
12	1	SALVEMOS AL PERÚ	18329
12	1	UN CAMINO DIFERENTE	111111
12	1	UNIDAD NACIONAL	49301
12	1	VOTOS EN BLANCO	3369844
12	1	VOTOS IMPUGNADOS	0
12	1	VOTOS NULOS	2387889
12	2	AHORA NACIÓN - AN	16976
12	2	ALIANZA ELECTORAL VENCEREMOS	1601
12	2	ALIANZA PARA EL PROGRESO	1063
12	2	AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	766
12	2	FE EN EL PERÚ	259
12	2	FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ	2006
12	2	FUERZA POPULAR	33633
12	2	FUERZA Y LIBERTAD	401
12	2	JUNTOS POR EL PERÚ	5585
12	2	LIBERTAD POPULAR	1200
12	2	PARTIDO APRISTA PERUANO	4293
12	2	PARTIDO CIUDADANOS POR EL PERÚ	0
12	2	PARTIDO CÍVICO OBRAS	21401
12	2	PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	131
12	2	PARTIDO DEL BUEN GOBIERNO	24125
12	2	PARTIDO DEMOCRATICO FEDERAL	0
12	2	PARTIDO DEMOCRÁTICO SOMOS PERÚ	1514
12	2	PARTIDO DEMÓCRATA UNIDO PERÚ	1331
12	2	PARTIDO DEMÓCRATA VERDE	931
12	2	PARTIDO FRENTE DE LA ESPERANZA 2021	0
12	2	PARTIDO MORADO	1747
12	2	PARTIDO PATRIÓTICO DEL PERÚ	1088
12	2	PARTIDO PAÍS PARA TODOS	19341
12	2	PARTIDO POLÍTICO COOPERACIÓN POPULAR	1070
12	2	PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	768
12	2	PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	1307
12	2	PARTIDO POLÍTICO PERÚ ACCIÓN	0
